Relatedness	Contradiction	Coherence	Value
Disagree	Strongly agree	Disagree	Disagree
Strongly agree	Strongly disagree	Agree	Agree
Agree	Disagree	Agree	Neutral
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Disagree	Strongly agree	Agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Disagree	Agree	Agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Agree	Strongly agree
Agree	Strongly disagree	Agree	Agree
Strongly agree	Agree	Strongly agree	Strongly agree
Agree	Neutral	Agree	Neutral
Strongly agree	Disagree	Strongly agree	Agree
Agree	Agree	Disagree	Disagree
Neutral	Strongly agree	Disagree	Strongly disagree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Agree	Disagree	Strongly agree	Agree
Agree	Neutral	Agree	Disagree
Agree	Neutral	Agree	Neutral
Strongly agree	Disagree	Agree	Strongly agree
Disagree	Agree	Disagree	Disagree
Strongly agree	Neutral	Neutral	Strongly agree
Agree	Agree	Strongly disagree	Strongly disagree
Agree	Disagree	Neutral	Neutral
Neutral	Disagree	Neutral	Disagree
Disagree	Strongly agree	Strongly disagree	Strongly disagree
Agree	Disagree	Neutral	Neutral
Disagree	Agree	Strongly disagree	Disagree
Agree	Disagree	Disagree	Strongly disagree
Agree	Agree	Agree	Neutral
Agree	Neutral	Disagree	Disagree
Agree	Disagree	Agree	Disagree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly disagree	Strongly agree	Strongly disagree	Strongly disagree
Agree	Neutral	Disagree	Disagree
Disagree	Agree	Strongly disagree	Strongly disagree
Neutral	Agree	Strongly disagree	Strongly disagree
Neutral	Agree	Disagree	Disagree
Agree	Disagree	Neutral	Neutral
Agree	Neutral	Neutral	Disagree
Strongly disagree	Agree	Neutral	Neutral
Strongly agree	Neutral	Strongly disagree	Strongly agree
Agree	Neutral	Agree	Neutral
Disagree	Strongly agree	Disagree	Strongly disagree
Neutral	Strongly agree	Strongly disagree	Disagree
Neutral	Agree	Disagree	Neutral
Disagree	Agree	Disagree	Disagree
Strongly disagree	Strongly agree	Strongly disagree	Strongly disagree
Strongly agree	Strongly disagree	Neutral	Neutral
Agree	Agree	Disagree	Agree
Agree	Agree	Strongly disagree	Disagree
Agree	Agree	Agree	Agree
Agree	Agree	Strongly disagree	Disagree
Agree	Agree	Disagree	Disagree
Strongly agree	Strongly agree	Strongly disagree	Neutral
Neutral	Agree	Neutral	Neutral
Agree	Strongly agree	Strongly disagree	Strongly disagree
Disagree	Agree	Disagree	Disagree
Agree	Agree	Disagree	Neutral
Strongly disagree	Strongly agree	Disagree	Disagree
Disagree	Agree	Disagree	Disagree
Agree	Agree	Disagree	Disagree
Disagree	Agree	Disagree	Disagree
Agree	Strongly agree	Neutral	Agree
Strongly disagree	Agree	Neutral	Disagree
Disagree	Strongly agree	Disagree	Strongly disagree
Neutral	Agree	Neutral	Agree
Agree	Agree	Neutral	Agree
Agree	Neutral	Neutral	Agree
Strongly agree	Strongly agree	Disagree	Strongly agree
Agree	Disagree	Agree	Agree
Agree	Disagree	Disagree	Agree
Agree	Strongly agree	Disagree	Agree
Neutral	Disagree	Disagree	Agree
Strongly agree	Disagree	Agree	Strongly agree
Agree	Agree	Agree	Disagree
Strongly agree	Agree	Strongly agree	Strongly agree
Agree	Agree	Agree	Agree
Strongly agree	Neutral	Disagree	Strongly agree
Agree	Agree	Neutral	Agree
Neutral	Agree	Agree	Agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Agree	Disagree	Agree	Agree
Strongly agree	Neutral	Agree	Agree
Agree	Disagree	Neutral	Agree
Strongly agree	Agree	Agree	Agree
Agree	Disagree	Agree	Agree
Strongly agree	Neutral	Strongly agree	Strongly agree
Neutral	Strongly agree	Strongly disagree	Strongly disagree
Agree	Agree	Disagree	Disagree
Neutral	Disagree	Neutral	Neutral
Strongly disagree	Strongly agree	Strongly disagree	Strongly disagree
Agree	Agree	Disagree	Neutral
Strongly disagree	Strongly agree	Strongly disagree	Strongly disagree
Disagree	Agree	Disagree	Strongly agree
Disagree	Agree	Disagree	Disagree
Strongly disagree	Strongly agree	Strongly disagree	Strongly disagree
Neutral	Agree	Neutral	Disagree
Strongly disagree	Strongly agree	Strongly disagree	Neutral
Disagree	Agree	Neutral	Disagree
Disagree	Strongly agree	Strongly disagree	Strongly disagree
Strongly disagree	Strongly agree	Strongly disagree	Strongly disagree
Strongly disagree	Strongly agree	Strongly disagree	Strongly disagree
