Relatedness	Contradiction	Coherence	Value
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Agree	Agree	Disagree	Neutral
Agree	Disagree	Disagree	Neutral
Strongly agree	Strongly disagree	Agree	Strongly agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Agree	Disagree	Strongly agree
Agree	Disagree	Agree	Agree
Agree	Disagree	Agree	Neutral
Agree	Disagree	Disagree	Agree
Neutral	Agree	Disagree	Agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Agree	Disagree	Agree	Agree
Strongly agree	Agree	Disagree	Agree
Strongly agree	Disagree	Strongly agree	Agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Agree	Disagree	Agree	Agree
Agree	Disagree	Agree	Agree
Strongly agree	Disagree	Agree	Agree
Strongly agree	Disagree	Disagree	Strongly agree
Strongly agree	Strongly disagree	Agree	Agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Strongly agree	Agree
Strongly agree	Strongly disagree	Agree	Agree
Agree	Disagree	Agree	Agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Strongly agree	Strongly agree	Strongly agree
Strongly agree	Disagree	Neutral	Strongly agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Strongly agree	Agree
Agree	Strongly disagree	Strongly agree	Agree
Agree	Neutral	Disagree	Agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Agree	Disagree	Agree	Agree
Neutral	Agree	Disagree	Neutral
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Disagree	Agree	Agree
Strongly agree	Strongly disagree	Strongly agree	Agree
Neutral	Agree	Neutral	Agree
Agree	Neutral	Agree	Strongly agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Neutral	Agree	Disagree	Strongly disagree
Disagree	Agree	Disagree	Neutral
Agree	Neutral	Agree	Neutral
Agree	Strongly agree	Disagree	Neutral
Agree	Strongly disagree	Disagree	Disagree
Agree	Disagree	Agree	Strongly agree
Strongly agree	Disagree	Strongly agree	Agree
Agree	Strongly agree	Disagree	Neutral
Agree	Agree	Agree	Agree
Agree	Agree	Disagree	Disagree
Strongly agree	Strongly agree	Disagree	Neutral
Agree	Strongly agree	Agree	Neutral
Agree	Agree	Disagree	Neutral
Agree	Agree	Disagree	Neutral
Agree	Agree	Disagree	Neutral
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Disagree	Agree	Disagree	Disagree
Strongly agree	Strongly agree	Neutral	Agree
Agree	Neutral	Agree	Agree
Strongly agree	Agree	Agree	Agree
Agree	Neutral	Neutral	Agree
Agree	Neutral	Agree	Agree
Strongly agree	Strongly disagree	Agree	Strongly agree
Strongly agree	Strongly disagree	Agree	Agree
Agree	Disagree	Agree	Agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Agree	Agree
Strongly agree	Disagree	Neutral	Agree
Strongly agree	Strongly agree	Strongly agree	Strongly agree
Agree	Disagree	Agree	Agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Agree	Agree
Strongly agree	Strongly disagree	Agree	Agree
Strongly agree	Neutral	Disagree	Strongly agree
Agree	Disagree	Agree	Agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Disagree	Agree	Agree
Agree	Disagree	Agree	Agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Neutral	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Agree	Agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Agree	Strongly agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Disagree	Agree	Neutral	Agree
Strongly agree	Strongly disagree	Agree	Agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Strongly agree	Disagree	Strongly agree	Strongly agree
Strongly agree	Disagree	Agree	Agree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Disagree	Strongly agree	Strongly disagree	Disagree
Disagree	Agree	Disagree	Disagree
Agree	Agree	Neutral	Agree
Strongly disagree	Strongly agree	Strongly disagree	Strongly disagree
Agree	Neutral	Agree	Neutral
Disagree	Disagree	Disagree	Agree
Neutral	Disagree	Strongly disagree	Strongly agree
Agree	Neutral	Agree	Agree
Agree	Agree	Agree	Disagree
Disagree	Neutral	Disagree	Disagree
Strongly agree	Agree	Strongly agree	Strongly agree
Disagree	Strongly agree	Disagree	Disagree
Agree	Agree	Neutral	Agree
Disagree	Agree	Disagree	Disagree
Disagree	Strongly agree	Strongly disagree	Strongly disagree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Neutral	Neutral	Agree	Neutral
Disagree	Agree	Disagree	Disagree
Agree	Neutral	Neutral	Neutral
Disagree	Neutral	Disagree	Disagree
Disagree	Neutral	Neutral	Neutral
Agree	Neutral	Strongly agree	Neutral
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Agree	Agree	Agree	Neutral
Strongly agree	Disagree	Strongly agree	Strongly agree
Strongly agree	Strongly disagree	Agree	Strongly agree
Agree	Neutral	Agree	Agree
